============================================================================================== 
Warning! Mixing Conda and module environments may lead to corruption of the
user environment. 
We do not recommend users mixing those two environments unless absolutely
necessary. Note that 
SURF does not provide any support for Conda environment.
For more information, please refer to our software policy page:
https://servicedesk.surf.nl/wiki/display/WIKI/Software+policy+Snellius#SoftwarepolicySnellius-UseofAnacondaandMinicondaenvironmentsonSnellius 

Remember that many packages have already been installed on the system and can
be loaded using 
the 'module load <package__name>' command. If you are uncertain if a package is
already available 
on the system, please use 'module avail' or 'module spider' to search for it.
============================================================================================== 
Building Cython extensions...
running build_ext
copying build/lib.linux-x86_64-cpython-310/lean_reinforcement/agent/mcts/mcts_cy/base_mcts_cy.cpython-310-x86_64-linux-gnu.so -> lean_reinforcement/agent/mcts/mcts_cy
copying build/lib.linux-x86_64-cpython-310/lean_reinforcement/agent/mcts/mcts_cy/alphazero_cy.cpython-310-x86_64-linux-gnu.so -> lean_reinforcement/agent/mcts/mcts_cy
copying build/lib.linux-x86_64-cpython-310/lean_reinforcement/agent/mcts/mcts_cy/guidedrollout_cy.cpython-310-x86_64-linux-gnu.so -> lean_reinforcement/agent/mcts/mcts_cy
copying build/lib.linux-x86_64-cpython-310/ReProver/common_cy.cpython-310-x86_64-linux-gnu.so -> ReProver
Starting training run with distributed environment...
wandb: Currently logged in as: gerbennkoopman to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run niagybp5
wandb: Tracking run with wandb version 0.23.1
wandb: Run data is saved locally in /gpfs/home1/gkoopman/lean_reinforcement/wandb/run-20260116_172304-niagybp5
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run ruby-valley-85
wandb: ⭐️ View project at https://wandb.ai/gerbennkoopman-university-of-amsterdam/lean-reinforcement
wandb: 🚀 View run at https://wandb.ai/gerbennkoopman-university-of-amsterdam/lean-reinforcement/runs/niagybp5
2026-01-16 17:23:06.491 | INFO     | lean_reinforcement.training.trainer:_setup_models:56 - Using checkpoint directory: /gpfs/scratch1/shared/lean-reinforcement/checkpoints
2026-01-16 17:27:01.201 | INFO     | lean_reinforcement.agent.runner:run:135 - Step 1: Running MCTS search for 200 iterations (max 600s)...
2026-01-16 17:27:02.381 | INFO     | lean_reinforcement.agent.runner:run:84 - Starting proof search for: Set.mul_iInter_subset
2026-01-16 17:27:02.650 | INFO     | lean_reinforcement.agent.runner:run:135 - Step 1: Running MCTS search for 200 iterations (max 600s)...
2026-01-16 17:27:04.533 | INFO     | lean_reinforcement.agent.runner:run:197 - Step 1: Applying best tactic: exact disjoint_sdiff_right hx hy
2026-01-16 17:27:04.600 | WARNING  | lean_reinforcement.agent.runner:run:206 - Tactic resulted in error: LeanError(error="unknown identifier 'disjoint_sdiff_right'")
2026-01-16 17:27:04.600 | ERROR    | lean_reinforcement.agent.runner:run:243 - Proof failed after 1 steps and 63.20s.
2026-01-16 17:27:04.600 | WARNING  | lean_reinforcement.agent.runner:run:247 - Final state: LeanError(error="unknown identifier 'disjoint_sdiff_right'")
2026-01-16 17:27:04.732 | INFO     | lean_reinforcement.utilities.gym:close:108 - Environment closed.
2026-01-16 17:27:07.551 | INFO     | lean_reinforcement.agent.runner:run:84 - Starting proof search for: OrderDual.lt_toDual
2026-01-16 17:27:07.850 | INFO     | lean_reinforcement.agent.runner:run:135 - Step 1: Running MCTS search for 200 iterations (max 600s)...
2026-01-16 17:27:51.246 | INFO     | lean_reinforcement.agent.runner:run:84 - Starting proof search for: Submodule.ne_bot_iff
2026-01-16 17:27:51.516 | INFO     | lean_reinforcement.agent.runner:run:135 - Step 1: Running MCTS search for 200 iterations (max 600s)...
2026-01-16 17:28:11.311 | INFO     | lean_reinforcement.agent.runner:run:84 - Starting proof search for: LinearMap.BilinForm.coe_add
2026-01-16 17:28:11.588 | INFO     | lean_reinforcement.agent.runner:run:135 - Step 1: Running MCTS search for 200 iterations (max 600s)...
2026-01-16 17:28:22.854 | INFO     | lean_reinforcement.agent.runner:run:84 - Starting proof search for: Finsupp.mapRange.linearEquiv_toLinearMap
2026-01-16 17:28:23.126 | INFO     | lean_reinforcement.agent.runner:run:135 - Step 1: Running MCTS search for 200 iterations (max 600s)...
2026-01-16 17:28:56.403 | INFO     | lean_reinforcement.agent.runner:run:197 - Step 1: Applying best tactic: simp [sumLexLift]
2026-01-16 17:28:56.467 | SUCCESS  | lean_reinforcement.agent.runner:run:239 - Proof finished in 1 steps and 117.14s.
2026-01-16 17:28:56.599 | INFO     | lean_reinforcement.utilities.gym:close:108 - Environment closed.
2026-01-16 17:29:25.044 | INFO     | lean_reinforcement.agent.runner:run:197 - Step 1: Applying best tactic: rw [lt_toDual_iff]
2026-01-16 17:29:25.136 | WARNING  | lean_reinforcement.agent.runner:run:206 - Tactic resulted in error: LeanError(error="tactic 'rewrite' failed, equality or iff proof expected\n  ?m.65034\nα : Type u_1\nβ : Type u_2\nγ : Type u_3\ninst✝ : LT α\na : αᵒᵈ\nb : α\n⊢ a < OrderDual.toDual b ↔ b < OrderDual.ofDual a")
2026-01-16 17:29:25.137 | ERROR    | lean_reinforcement.agent.runner:run:243 - Proof failed after 1 steps and 137.59s.
2026-01-16 17:29:25.137 | WARNING  | lean_reinforcement.agent.runner:run:247 - Final state: LeanError(error="tactic 'rewrite' failed, equality or iff proof expected\n  ?m.65034\nα : Type u_1\nβ : Type u_2\nγ : Type u_3\ninst✝ : LT α\na : αᵒᵈ\nb : α\n⊢ a < OrderDual.toDual b ↔ b < OrderDual.ofDual a")
2026-01-16 17:29:25.269 | INFO     | lean_reinforcement.utilities.gym:close:108 - Environment closed.
2026-01-16 17:29:25.399 | INFO     | lean_reinforcement.agent.runner:run:197 - Step 1: Applying best tactic: exact mul_subset_iInter₂ s t
2026-01-16 17:29:25.465 | WARNING  | lean_reinforcement.agent.runner:run:206 - Tactic resulted in error: LeanError(error="unknown identifier 'mul_subset_iInter₂'")
2026-01-16 17:29:25.465 | ERROR    | lean_reinforcement.agent.runner:run:243 - Proof failed after 1 steps and 143.08s.
2026-01-16 17:29:25.466 | WARNING  | lean_reinforcement.agent.runner:run:247 - Final state: LeanError(error="unknown identifier 'mul_subset_iInter₂'")
2026-01-16 17:29:25.599 | INFO     | lean_reinforcement.utilities.gym:close:108 - Environment closed.
2026-01-16 17:29:39.972 | INFO     | lean_reinforcement.agent.runner:run:197 - Step 1: Applying best tactic: rw [disjoint_comm]
2026-01-16 17:29:40.307 | INFO     | lean_reinforcement.agent.runner:run:135 - Step 2: Running MCTS search for 200 iterations (max 600s)...
2026-01-16 17:29:40.312 | WARNING  | lean_reinforcement.agent.runner:run:193 - MCTS search returned no action. Stopping.
2026-01-16 17:29:40.312 | ERROR    | lean_reinforcement.agent.runner:run:243 - Proof failed after 2 steps and 159.39s.
2026-01-16 17:29:40.446 | INFO     | lean_reinforcement.utilities.gym:close:108 - Environment closed.
2026-01-16 17:30:26.392 | INFO     | lean_reinforcement.agent.runner:run:84 - Starting proof search for: SimplexCategory.δ_comp_σ_of_gt
2026-01-16 17:30:26.681 | INFO     | lean_reinforcement.agent.runner:run:135 - Step 1: Running MCTS search for 200 iterations (max 600s)...
2026-01-16 17:30:53.772 | INFO     | lean_reinforcement.agent.runner:run:197 - Step 1: Applying best tactic: simp only [le_antisymm_iff, eq_comm]
2026-01-16 17:30:54.145 | INFO     | lean_reinforcement.agent.runner:run:135 - Step 2: Running MCTS search for 200 iterations (max 600s)...
2026-01-16 17:31:18.751 | INFO     | lean_reinforcement.agent.runner:run:197 - Step 1: Applying best tactic: simp [Finset.sup_eq_iSup]
2026-01-16 17:31:19.102 | INFO     | lean_reinforcement.agent.runner:run:135 - Step 2: Running MCTS search for 200 iterations (max 600s)...
2026-01-16 17:31:24.935 | INFO     | lean_reinforcement.agent.runner:run:197 - Step 1: Applying best tactic: rw [δ_comp_σ_succ]
2026-01-16 17:31:25.051 | WARNING  | lean_reinforcement.agent.runner:run:206 - Tactic resulted in error: LeanError(error="tactic 'rewrite' failed, did not find instance of the pattern in the target expression\n  SimplexCategory.δ ?m.83964.succ ≫ SimplexCategory.σ ?m.83964\nn : ℕ\ni : Fin (n + 2)\nj : Fin (n + 1)\nH : j.castSucc < i\n⊢ SimplexCategory.δ i.succ ≫ SimplexCategory.σ j.castSucc = SimplexCategory.σ j ≫ SimplexCategory.δ i")
2026-01-16 17:31:25.051 | ERROR    | lean_reinforcement.agent.runner:run:243 - Proof failed after 1 steps and 58.66s.
2026-01-16 17:31:25.051 | WARNING  | lean_reinforcement.agent.runner:run:247 - Final state: LeanError(error="tactic 'rewrite' failed, did not find instance of the pattern in the target expression\n  SimplexCategory.δ ?m.83964.succ ≫ SimplexCategory.σ ?m.83964\nn : ℕ\ni : Fin (n + 2)\nj : Fin (n + 1)\nH : j.castSucc < i\n⊢ SimplexCategory.δ i.succ ≫ SimplexCategory.σ j.castSucc = SimplexCategory.σ j ≫ SimplexCategory.δ i")
2026-01-16 17:31:25.184 | INFO     | lean_reinforcement.utilities.gym:close:108 - Environment closed.
2026-01-16 17:31:33.385 | INFO     | lean_reinforcement.agent.runner:run:84 - Starting proof search for: Fin.insertNth_apply_succAbove
2026-01-16 17:31:33.693 | INFO     | lean_reinforcement.agent.runner:run:135 - Step 1: Running MCTS search for 200 iterations (max 600s)...
2026-01-16 17:31:36.857 | INFO     | lean_reinforcement.agent.runner:run:84 - Starting proof search for: CategoryTheory.Limits.MonoCoprod.mono_map'_of_injective
2026-01-16 17:31:37.128 | INFO     | lean_reinforcement.agent.runner:run:135 - Step 1: Running MCTS search for 200 iterations (max 600s)...
2026-01-16 17:31:38.816 | INFO     | lean_reinforcement.agent.runner:run:84 - Starting proof search for: Equiv.Perm.subtypePerm_ofSubtype
2026-01-16 17:31:39.109 | INFO     | lean_reinforcement.agent.runner:run:135 - Step 1: Running MCTS search for 200 iterations (max 600s)...
2026-01-16 17:31:44.956 | INFO     | lean_reinforcement.agent.runner:run:197 - Step 1: Applying best tactic: ext
2026-01-16 17:31:45.278 | INFO     | lean_reinforcement.agent.runner:run:135 - Step 2: Running MCTS search for 200 iterations (max 600s)...
2026-01-16 17:31:45.279 | INFO     | lean_reinforcement.agent.runner:run:197 - Step 2: Applying best tactic: simp
2026-01-16 17:31:45.346 | SUCCESS  | lean_reinforcement.agent.runner:run:239 - Proof finished in 2 steps and 324.93s.
2026-01-16 17:31:45.479 | INFO     | lean_reinforcement.utilities.gym:close:108 - Environment closed.
2026-01-16 17:32:21.395 | INFO     | lean_reinforcement.agent.runner:run:84 - Starting proof search for: CategoryTheory.IsKernelPair.cancel_right
2026-01-16 17:32:21.678 | INFO     | lean_reinforcement.agent.runner:run:135 - Step 1: Running MCTS search for 200 iterations (max 600s)...
2026-01-16 17:32:50.357 | INFO     | lean_reinforcement.agent.runner:run:197 - Step 2: Applying best tactic: simp [Finset.sup_eq_iSup]
2026-01-16 17:32:50.426 | WARNING  | lean_reinforcement.agent.runner:run:206 - Tactic resulted in error: LeanError(error='simp made no progress')
2026-01-16 17:32:50.426 | ERROR    | lean_reinforcement.agent.runner:run:243 - Proof failed after 2 steps and 355.88s.
2026-01-16 17:32:50.426 | WARNING  | lean_reinforcement.agent.runner:run:247 - Final state: LeanError(error='simp made no progress')
2026-01-16 17:32:50.558 | INFO     | lean_reinforcement.utilities.gym:close:108 - Environment closed.
2026-01-16 17:32:50.644 | INFO     | lean_reinforcement.agent.runner:run:197 - Step 2: Applying best tactic: simp only [le_refl, inf_comm]
2026-01-16 17:32:50.710 | WARNING  | lean_reinforcement.agent.runner:run:206 - Tactic resulted in error: LeanError(error='simp made no progress')
2026-01-16 17:32:50.711 | ERROR    | lean_reinforcement.agent.runner:run:243 - Proof failed after 2 steps and 409.56s.
2026-01-16 17:32:50.711 | WARNING  | lean_reinforcement.agent.runner:run:247 - Final state: LeanError(error='simp made no progress')
2026-01-16 17:32:50.844 | INFO     | lean_reinforcement.utilities.gym:close:108 - Environment closed.
2026-01-16 17:32:51.307 | INFO     | lean_reinforcement.agent.runner:run:197 - Step 1: Applying best tactic: simp [insertNth_succAbove]
2026-01-16 17:32:51.371 | WARNING  | lean_reinforcement.agent.runner:run:206 - Tactic resulted in error: LeanError(error='simp made no progress')
2026-01-16 17:32:51.371 | ERROR    | lean_reinforcement.agent.runner:run:243 - Proof failed after 1 steps and 77.99s.
2026-01-16 17:32:51.371 | WARNING  | lean_reinforcement.agent.runner:run:247 - Final state: LeanError(error='simp made no progress')
2026-01-16 17:32:51.504 | INFO     | lean_reinforcement.utilities.gym:close:108 - Environment closed.
2026-01-16 17:32:55.434 | INFO     | lean_reinforcement.agent.runner:run:197 - Step 1: Applying best tactic: infer_instance
2026-01-16 17:32:55.517 | WARNING  | lean_reinforcement.agent.runner:run:206 - Tactic resulted in error: LeanError(error="failed to synthesize\n  Mono (Sigma.map' ι fun j => 𝟙 ((X ∘ ι) j))\nuse `set_option diagnostics true` to get diagnostic information")
2026-01-16 17:32:55.517 | ERROR    | lean_reinforcement.agent.runner:run:243 - Proof failed after 1 steps and 78.66s.
2026-01-16 17:32:55.517 | WARNING  | lean_reinforcement.agent.runner:run:247 - Final state: LeanError(error="failed to synthesize\n  Mono (Sigma.map' ι fun j => 𝟙 ((X ∘ ι) j))\nuse `set_option diagnostics true` to get diagnostic information")
2026-01-16 17:32:55.650 | INFO     | lean_reinforcement.utilities.gym:close:108 - Environment closed.
2026-01-16 17:33:07.009 | INFO     | lean_reinforcement.agent.runner:run:197 - Step 1: Applying best tactic: rw [subtypePerm_apply]
2026-01-16 17:33:07.116 | WARNING  | lean_reinforcement.agent.runner:run:206 - Tactic resulted in error: LeanError(error="tactic 'rewrite' failed, did not find instance of the pattern in the target expression\n  (?f.subtypePerm ?h) ?x\nα : Type u\nβ : Type v\np : α → Prop\nf✝ : Equiv.Perm α\ninst✝ : DecidablePred p\na : α\nf : Equiv.Perm (Subtype p)\n⊢ (Equiv.Perm.ofSubtype f).subtypePerm ⋯ = f")
2026-01-16 17:33:07.116 | ERROR    | lean_reinforcement.agent.runner:run:243 - Proof failed after 1 steps and 88.30s.
2026-01-16 17:33:07.116 | WARNING  | lean_reinforcement.agent.runner:run:247 - Final state: LeanError(error="tactic 'rewrite' failed, did not find instance of the pattern in the target expression\n  (?f.subtypePerm ?h) ?x\nα : Type u\nβ : Type v\np : α → Prop\nf✝ : Equiv.Perm α\ninst✝ : DecidablePred p\na : α\nf : Equiv.Perm (Subtype p)\n⊢ (Equiv.Perm.ofSubtype f).subtypePerm ⋯ = f")
2026-01-16 17:33:07.248 | INFO     | lean_reinforcement.utilities.gym:close:108 - Environment closed.
2026-01-16 17:33:17.336 | INFO     | lean_reinforcement.agent.runner:run:84 - Starting proof search for: bddBelow_upperClosure
2026-01-16 17:33:17.675 | INFO     | lean_reinforcement.agent.runner:run:135 - Step 1: Running MCTS search for 200 iterations (max 600s)...
2026-01-16 17:33:18.538 | INFO     | lean_reinforcement.agent.runner:run:197 - Step 1: Applying best tactic: ext
2026-01-16 17:33:18.976 | INFO     | lean_reinforcement.agent.runner:run:135 - Step 2: Running MCTS search for 200 iterations (max 600s)...
2026-01-16 17:33:38.324 | INFO     | lean_reinforcement.agent.runner:run:84 - Starting proof search for: SimpleGraph.neighborFinset_def
2026-01-16 17:33:38.591 | INFO     | lean_reinforcement.agent.runner:run:135 - Step 1: Running MCTS search for 200 iterations (max 600s)...
2026-01-16 17:33:43.037 | INFO     | lean_reinforcement.agent.runner:run:197 - Step 1: Applying best tactic: rw [IsKernelPair, Category.assoc, comm] at big_k
2026-01-16 17:33:43.161 | WARNING  | lean_reinforcement.agent.runner:run:206 - Tactic resulted in error: LeanError(error="tactic 'rewrite' failed, did not find instance of the pattern in the target expression\n  (?f ≫ ?g) ≫ ?h\nC : Type u\ninst✝ : CategoryTheory.Category.{v, u} C\nR X Y Z : C\nf : X ⟶ Y\na b : R ⟶ X\nf₁ : X ⟶ Y\nf₂ : Y ⟶ Z\ncomm : a ≫ f₁ = b ≫ f₁\nbig_k : CategoryTheory.IsPullback a b (f₁ ≫ f₂) (f₁ ≫ f₂)\n⊢ CategoryTheory.IsKernelPair f₁ a b")
2026-01-16 17:33:43.161 | ERROR    | lean_reinforcement.agent.runner:run:243 - Proof failed after 1 steps and 81.77s.
2026-01-16 17:33:43.161 | WARNING  | lean_reinforcement.agent.runner:run:247 - Final state: LeanError(error="tactic 'rewrite' failed, did not find instance of the pattern in the target expression\n  (?f ≫ ?g) ≫ ?h\nC : Type u\ninst✝ : CategoryTheory.Category.{v, u} C\nR X Y Z : C\nf : X ⟶ Y\na b : R ⟶ X\nf₁ : X ⟶ Y\nf₂ : Y ⟶ Z\ncomm : a ≫ f₁ = b ≫ f₁\nbig_k : CategoryTheory.IsPullback a b (f₁ ≫ f₂) (f₁ ≫ f₂)\n⊢ CategoryTheory.IsKernelPair f₁ a b")
2026-01-16 17:33:43.292 | INFO     | lean_reinforcement.utilities.gym:close:108 - Environment closed.
2026-01-16 17:33:51.634 | INFO     | lean_reinforcement.agent.runner:run:84 - Starting proof search for: Set.Icc_ssubset_Icc_left
2026-01-16 17:33:51.923 | INFO     | lean_reinforcement.agent.runner:run:135 - Step 1: Running MCTS search for 200 iterations (max 600s)...
2026-01-16 17:34:16.883 | INFO     | lean_reinforcement.agent.runner:run:84 - Starting proof search for: HasProd.zero_mul
2026-01-16 17:34:17.169 | INFO     | lean_reinforcement.agent.runner:run:135 - Step 1: Running MCTS search for 200 iterations (max 600s)...
2026-01-16 17:34:17.230 | INFO     | lean_reinforcement.agent.runner:run:84 - Starting proof search for: Dilation.ratio_ne_zero
2026-01-16 17:34:17.507 | INFO     | lean_reinforcement.agent.runner:run:135 - Step 1: Running MCTS search for 200 iterations (max 600s)...
2026-01-16 17:34:26.766 | INFO     | lean_reinforcement.agent.runner:run:84 - Starting proof search for: Seminorm.coe_bot
2026-01-16 17:34:27.063 | INFO     | lean_reinforcement.agent.runner:run:135 - Step 1: Running MCTS search for 200 iterations (max 600s)...
2026-01-16 17:34:29.069 | INFO     | lean_reinforcement.agent.runner:run:84 - Starting proof search for: MeasureTheory.AEEqFun.coeFn_pow
2026-01-16 17:34:29.337 | INFO     | lean_reinforcement.agent.runner:run:135 - Step 1: Running MCTS search for 200 iterations (max 600s)...
2026-01-16 17:34:46.491 | INFO     | lean_reinforcement.agent.runner:run:197 - Step 1: Applying best tactic: simp [neighborFinset]
2026-01-16 17:34:46.554 | SUCCESS  | lean_reinforcement.agent.runner:run:239 - Proof finished in 1 steps and 68.23s.
2026-01-16 17:34:46.687 | INFO     | lean_reinforcement.utilities.gym:close:108 - Environment closed.
2026-01-16 17:34:48.642 | INFO     | lean_reinforcement.agent.runner:run:197 - Step 2: Applying best tactic: simp_rw [dotProduct_add]
2026-01-16 17:34:48.727 | WARNING  | lean_reinforcement.agent.runner:run:206 - Tactic resulted in error: LeanError(error='simp made no progress')
2026-01-16 17:34:48.727 | ERROR    | lean_reinforcement.agent.runner:run:243 - Proof failed after 2 steps and 397.42s.
2026-01-16 17:34:48.727 | WARNING  | lean_reinforcement.agent.runner:run:247 - Final state: LeanError(error='simp made no progress')
2026-01-16 17:34:48.859 | INFO     | lean_reinforcement.utilities.gym:close:108 - Environment closed.
2026-01-16 17:34:52.324 | INFO     | lean_reinforcement.agent.runner:run:84 - Starting proof search for: CategoryTheory.Functor.map_zero
2026-01-16 17:34:52.593 | INFO     | lean_reinforcement.agent.runner:run:135 - Step 1: Running MCTS search for 200 iterations (max 600s)...
2026-01-16 17:34:53.876 | INFO     | lean_reinforcement.agent.runner:run:84 - Starting proof search for: FractionalIdeal.zero_le
2026-01-16 17:34:54.145 | INFO     | lean_reinforcement.agent.runner:run:135 - Step 1: Running MCTS search for 200 iterations (max 600s)...
2026-01-16 17:35:00.863 | INFO     | lean_reinforcement.agent.runner:run:197 - Step 1: Applying best tactic: simp only [BddBelow, mem_upperClosure_iff]
2026-01-16 17:35:00.930 | WARNING  | lean_reinforcement.agent.runner:run:206 - Tactic resulted in error: LeanError(error="unknown identifier 'mem_upperClosure_iff'")
2026-01-16 17:35:00.930 | ERROR    | lean_reinforcement.agent.runner:run:243 - Proof failed after 1 steps and 103.59s.
2026-01-16 17:35:00.931 | WARNING  | lean_reinforcement.agent.runner:run:247 - Final state: LeanError(error="unknown identifier 'mem_upperClosure_iff'")
2026-01-16 17:35:01.063 | INFO     | lean_reinforcement.utilities.gym:close:108 - Environment closed.
2026-01-16 17:35:09.078 | INFO     | lean_reinforcement.agent.runner:run:197 - Step 1: Applying best tactic: rw [← coe_ssubset]
2026-01-16 17:35:09.174 | WARNING  | lean_reinforcement.agent.runner:run:206 - Tactic resulted in error: LeanError(error="tactic 'rewrite' failed, equality or iff proof expected\n  ?m.24006\nα : Type u_1\nβ : Type u_2\ninst✝ : Preorder α\na a₁ a₂ b b₁ b₂ c x : α\nhI : a₂ ≤ b₂\nha : a₂ < a₁\nhb : b₁ ≤ b₂\n⊢ Set.Icc a₁ b₁ ⊂ Set.Icc a₂ b₂")
2026-01-16 17:35:09.174 | ERROR    | lean_reinforcement.agent.runner:run:243 - Proof failed after 1 steps and 77.54s.
2026-01-16 17:35:09.174 | WARNING  | lean_reinforcement.agent.runner:run:247 - Final state: LeanError(error="tactic 'rewrite' failed, equality or iff proof expected\n  ?m.24006\nα : Type u_1\nβ : Type u_2\ninst✝ : Preorder α\na a₁ a₂ b b₁ b₂ c x : α\nhI : a₂ ≤ b₂\nha : a₂ < a₁\nhb : b₁ ≤ b₂\n⊢ Set.Icc a₁ b₁ ⊂ Set.Icc a₂ b₂")
2026-01-16 17:35:09.306 | INFO     | lean_reinforcement.utilities.gym:close:108 - Environment closed.
2026-01-16 17:35:12.634 | INFO     | lean_reinforcement.training.trainer:_collect_data:315 - Completed 16/128 proofs
2026-01-16 17:35:26.071 | INFO     | lean_reinforcement.agent.runner:run:84 - Starting proof search for: GaussianInt.toComplex_sub
2026-01-16 17:35:26.336 | INFO     | lean_reinforcement.agent.runner:run:135 - Step 1: Running MCTS search for 200 iterations (max 600s)...
