============================================================================================== 
Warning! Mixing Conda and module environments may lead to corruption of the
user environment. 
We do not recommend users mixing those two environments unless absolutely
necessary. Note that 
SURF does not provide any support for Conda environment.
For more information, please refer to our software policy page:
https://servicedesk.surf.nl/wiki/display/WIKI/Software+policy+Snellius#SoftwarepolicySnellius-UseofAnacondaandMinicondaenvironmentsonSnellius 

Remember that many packages have already been installed on the system and can
be loaded using 
the 'module load <package__name>' command. If you are uncertain if a package is
already available 
on the system, please use 'module avail' or 'module spider' to search for it.
============================================================================================== 
Building Cython extensions...
running build_ext
copying build/lib.linux-x86_64-cpython-310/lean_reinforcement/agent/mcts/mcts_cy/base_mcts_cy.cpython-310-x86_64-linux-gnu.so -> lean_reinforcement/agent/mcts/mcts_cy
copying build/lib.linux-x86_64-cpython-310/lean_reinforcement/agent/mcts/mcts_cy/alphazero_cy.cpython-310-x86_64-linux-gnu.so -> lean_reinforcement/agent/mcts/mcts_cy
copying build/lib.linux-x86_64-cpython-310/lean_reinforcement/agent/mcts/mcts_cy/guidedrollout_cy.cpython-310-x86_64-linux-gnu.so -> lean_reinforcement/agent/mcts/mcts_cy
copying build/lib.linux-x86_64-cpython-310/ReProver/common_cy.cpython-310-x86_64-linux-gnu.so -> ReProver
Starting training run with distributed environment...
wandb: Currently logged in as: gerbennkoopman to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run v9e1sxr7
wandb: Tracking run with wandb version 0.23.1
wandb: Run data is saved locally in /gpfs/home1/gkoopman/lean_reinforcement/wandb/run-20260115_204921-v9e1sxr7
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run dainty-silence-80
wandb: ⭐️ View project at https://wandb.ai/gerbennkoopman-university-of-amsterdam/lean-reinforcement
wandb: 🚀 View run at https://wandb.ai/gerbennkoopman-university-of-amsterdam/lean-reinforcement/runs/v9e1sxr7
2026-01-15 20:49:23.280 | INFO     | lean_reinforcement.training.trainer:_setup_models:56 - Using checkpoint directory: /gpfs/scratch1/shared/lean-reinforcement/checkpoints
2026-01-15 21:00:11.660 | WARNING  | lean_reinforcement.agent.runner:run:244 - Final state: LeanError(error="tactic 'rewrite' failed, equality or iff proof expected\n  ?m.75605\nR : Type u\nS : Type v\nF : Type u_1\ninst✝³ : Semiring R\ninst✝² : Semiring S\ninst✝¹ : FunLike F R S\nrc : RingHomClass F R S\nf : F\nI J : Ideal R\nK L : Ideal S\nG : Type u_2\ninst✝ : FunLike G S R\nrcg : RingHomClass G S R\nι : Sort u_3\nH : K.IsPrime\n⊢ (Ideal.comap f K).IsPrime")
2026-01-15 21:00:11.795 | INFO     | lean_reinforcement.utilities.gym:close:108 - Environment closed.
2026-01-15 21:00:53.098 | INFO     | lean_reinforcement.agent.runner:run:194 - Step 1: Applying best tactic: rw [Basis.coe_mk, LinearEquiv.refl_apply]
2026-01-15 21:00:53.265 | WARNING  | lean_reinforcement.agent.runner:run:203 - Tactic resulted in error: LeanError(error="tactic 'rewrite' failed, did not find instance of the pattern in the target expression\n  (LinearEquiv.refl ?m.649201 ?m.649202) ?x\nι : Type u_1\nι' : Type u_2\nR : Type u_3\nR₂ : Type u_4\nK : Type u_5\nM : Type u_6\nM' : Type u_7\nM'' : Type u_8\nV : Type u\nV' : Type u_9\nv : ι → M\ninst✝⁸ : Ring R\ninst✝⁷ : CommRing R₂\ninst✝⁶ : AddCommGroup M\ninst✝⁵ : AddCommGroup M'\ninst✝⁴ : AddCommGroup M''\ninst✝³ : Module R M\ninst✝² : Module R₂ M\ninst✝¹ : Module R M'\ninst✝ : Module R M''\nc d : R\nx y : M\nb : Basis ι R M\nhli : LinearIndependent R v\nhsp : ⊤ ≤ Submodule.span R (Set.range v)\n⊢ v = v")
2026-01-15 21:00:53.265 | ERROR    | lean_reinforcement.agent.runner:run:240 - Proof failed after 1 steps and 323.72s.
2026-01-15 21:00:53.265 | WARNING  | lean_reinforcement.agent.runner:run:244 - Final state: LeanError(error="tactic 'rewrite' failed, did not find instance of the pattern in the target expression\n  (LinearEquiv.refl ?m.649201 ?m.649202) ?x\nι : Type u_1\nι' : Type u_2\nR : Type u_3\nR₂ : Type u_4\nK : Type u_5\nM : Type u_6\nM' : Type u_7\nM'' : Type u_8\nV : Type u\nV' : Type u_9\nv : ι → M\ninst✝⁸ : Ring R\ninst✝⁷ : CommRing R₂\ninst✝⁶ : AddCommGroup M\ninst✝⁵ : AddCommGroup M'\ninst✝⁴ : AddCommGroup M''\ninst✝³ : Module R M\ninst✝² : Module R₂ M\ninst✝¹ : Module R M'\ninst✝ : Module R M''\nc d : R\nx y : M\nb : Basis ι R M\nhli : LinearIndependent R v\nhsp : ⊤ ≤ Submodule.span R (Set.range v)\n⊢ v = v")
2026-01-15 21:00:53.400 | INFO     | lean_reinforcement.utilities.gym:close:108 - Environment closed.
2026-01-15 21:00:53.799 | INFO     | lean_reinforcement.agent.runner:run:194 - Step 1: Applying best tactic: simp
2026-01-15 21:00:53.864 | WARNING  | lean_reinforcement.agent.runner:run:203 - Tactic resulted in error: LeanError(error='simp made no progress')
2026-01-15 21:00:53.864 | ERROR    | lean_reinforcement.agent.runner:run:240 - Proof failed after 1 steps and 150.94s.
2026-01-15 21:00:53.864 | WARNING  | lean_reinforcement.agent.runner:run:244 - Final state: LeanError(error='simp made no progress')
2026-01-15 21:00:53.999 | INFO     | lean_reinforcement.utilities.gym:close:108 - Environment closed.
2026-01-15 21:00:54.338 | INFO     | lean_reinforcement.training.trainer:_collect_data:295 - Completed 16/32 proofs
2026-01-15 21:01:08.247 | ERROR    | lean_reinforcement.utilities.gym:reset:49 - Error during environment reset: Timeout during initialization
2026-01-15 21:01:08.281 | INFO     | lean_reinforcement.utilities.gym:close:108 - Environment closed.
2026-01-15 21:01:08.281 | ERROR    | lean_reinforcement.training.worker:process_theorem:44 - Failed to initialize environment for theorem Real.exp_log: Timeout during initialization
2026-01-15 21:01:10.548 | INFO     | lean_reinforcement.agent.runner:run:194 - Step 1: Applying best tactic: refine Multiset.induction_on s (by simp)?_
2026-01-15 21:01:10.613 | WARNING  | lean_reinforcement.agent.runner:run:203 - Tactic resulted in error: LeanError(error='<stdin>:1:40: expected end of input')
2026-01-15 21:01:10.614 | ERROR    | lean_reinforcement.agent.runner:run:240 - Proof failed after 1 steps and 237.57s.
2026-01-15 21:01:10.614 | WARNING  | lean_reinforcement.agent.runner:run:244 - Final state: LeanError(error='<stdin>:1:40: expected end of input')
2026-01-15 21:01:10.747 | INFO     | lean_reinforcement.utilities.gym:close:108 - Environment closed.
2026-01-15 21:01:39.354 | INFO     | lean_reinforcement.agent.runner:run:194 - Step 1: Applying best tactic: lift s to Finset α using hs
2026-01-15 21:01:39.431 | WARNING  | lean_reinforcement.agent.runner:run:203 - Tactic resulted in error: LeanError(error='type mismatch\n  hs\nhas type\n  s.Nonempty : Prop\nbut is expected to have type\n  s.Finite : Prop')
2026-01-15 21:01:39.432 | ERROR    | lean_reinforcement.agent.runner:run:240 - Proof failed after 1 steps and 184.79s.
2026-01-15 21:01:39.432 | WARNING  | lean_reinforcement.agent.runner:run:244 - Final state: LeanError(error='type mismatch\n  hs\nhas type\n  s.Nonempty : Prop\nbut is expected to have type\n  s.Finite : Prop')
2026-01-15 21:01:39.564 | INFO     | lean_reinforcement.utilities.gym:close:108 - Environment closed.
2026-01-15 21:02:43.042 | INFO     | lean_reinforcement.agent.runner:run:81 - Starting proof search for: denseEmbedding_pure
2026-01-15 21:02:43.315 | INFO     | lean_reinforcement.agent.runner:run:132 - Step 1: Running MCTS search for 1000 iterations (max 600s)...
2026-01-15 21:02:47.645 | ERROR    | lean_reinforcement.utilities.gym:reset:49 - Error during environment reset: Timeout during initialization
2026-01-15 21:02:47.679 | INFO     | lean_reinforcement.utilities.gym:close:108 - Environment closed.
2026-01-15 21:02:47.680 | ERROR    | lean_reinforcement.training.worker:process_theorem:44 - Failed to initialize environment for theorem KaehlerDifferential.quotKerTotalEquiv_symm_comp_D: Timeout during initialization
2026-01-15 21:03:00.829 | INFO     | lean_reinforcement.agent.runner:run:81 - Starting proof search for: Polynomial.trailingDegree_eq_zero
2026-01-15 21:03:01.113 | INFO     | lean_reinforcement.agent.runner:run:132 - Step 1: Running MCTS search for 1000 iterations (max 600s)...
2026-01-15 21:03:10.263 | INFO     | lean_reinforcement.agent.runner:run:194 - Step 1: Applying best tactic: unfold otherVertexOfIncident
2026-01-15 21:03:10.642 | WARNING  | lean_reinforcement.agent.runner:run:100 - Proof search exceeded 600s timeout after 627.1s. Stopping.
2026-01-15 21:03:10.642 | ERROR    | lean_reinforcement.agent.runner:run:240 - Proof failed after 2 steps and 627.11s.
2026-01-15 21:03:10.699 | INFO     | lean_reinforcement.agent.runner:run:81 - Starting proof search for: Dilation.comp_apply
2026-01-15 21:03:10.777 | INFO     | lean_reinforcement.utilities.gym:close:108 - Environment closed.
2026-01-15 21:03:11.029 | INFO     | lean_reinforcement.agent.runner:run:132 - Step 1: Running MCTS search for 1000 iterations (max 600s)...
2026-01-15 21:03:13.112 | INFO     | lean_reinforcement.agent.runner:run:81 - Starting proof search for: StarSubalgebra.topologicalClosure_minimal
2026-01-15 21:03:13.393 | INFO     | lean_reinforcement.agent.runner:run:132 - Step 1: Running MCTS search for 1000 iterations (max 600s)...
2026-01-15 21:04:09.411 | INFO     | lean_reinforcement.agent.runner:run:81 - Starting proof search for: MeasureTheory.SimpleFunc.lintegral_restrict
